timestamp, ref_phi, ref_theta, ref_psi, ref_x, ref_y, ref_z
1728975609.301823317, 6.95734e-27, 3.77684e-27, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.303819352, 6.95734e-27, 3.77684e-27, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.305817525, 6.95734e-27, 3.77684e-27, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.307850867, 6.95734e-27, 3.77684e-27, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.309817856, 6.95734e-27, 3.77684e-27, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.311819606, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.313838600, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.315849101, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.317816923, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.319817398, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.321815782, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.323830003, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.325831031, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.327862388, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.329871381, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.331865943, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.333852772, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.335818523, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.337813183, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.339821905, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.341796587, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.343816557, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.345814231, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.347817962, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.349832021, -9.75512e-16, 1.33053e-14, 0, 3.91334e-15, 4.06463e-16, -1.80082e-16
1728975609.351843080, -9.75512e-16, 1.33053e-14, 0, 6.68172e-05, -0.000185829, 0.000609058
