timestamp, ref_x, ref_y, ref_z, ref_vel_x, ref_vel_y, ref_vel_z, ref_acc_x, ref_acc_y, ref_acc_z, ref_quat_x, ref_quat_y, ref_quat_z, ref_quat_w
1730151084.344741547, 3.6656e-05, -0.000102949, 0.000450472, 0.000353754, -0.00099543, 0.00439315, 0.00249586, -0.00704692, 0.0315735, 7.36197e-05, 3.71696e-05, -2.73641e-09, 1
1730151084.345557849, 3.6656e-05, -0.000102949, 0.000450472, 0.000353754, -0.00099543, 0.00439315, 0.00249586, -0.00704692, 0.0315735, 7.36197e-05, 3.71696e-05, -2.73641e-09, 1
1730151084.347537148, 3.6656e-05, -0.000102949, 0.000450472, 0.000353754, -0.00099543, 0.00439315, 0.00249586, -0.00704692, 0.0315735, 6.21724e-05, 2.9507e-05, -1.83452e-09, 1
1730151084.349536240, 3.6656e-05, -0.000102949, 0.000450472, 0.000353754, -0.00099543, 0.00439315, 0.00249586, -0.00704692, 0.0315735, 6.21724e-05, 2.9507e-05, -1.83452e-09, 1
1730151084.351533941, 3.6656e-05, -0.000102949, 0.000450472, 0.000353754, -0.00099543, 0.00439315, 0.00249586, -0.00704692, 0.0315735, 6.21724e-05, 2.9507e-05, -1.83452e-09, 1
1730151084.353567770, 3.6656e-05, -0.000102949, 0.000450472, 0.000353754, -0.00099543, 0.00439315, 0.00249586, -0.00704692, 0.0315735, 6.21724e-05, 2.9507e-05, -1.83452e-09, 1
1730151084.355538885, 3.6656e-05, -0.000102949, 0.000450472, 0.000353754, -0.00099543, 0.00439315, 0.00249586, -0.00704692, 0.0315735, 6.21724e-05, 2.9507e-05, -1.83452e-09, 1
1730151084.357540457, 3.6656e-05, -0.000102949, 0.000450472, 0.000353754, -0.00099543, 0.00439315, 0.00249586, -0.00704692, 0.0315735, 6.21724e-05, 2.9507e-05, -1.83452e-09, 1
1730151084.359539442, 3.6656e-05, -0.000102949, 0.000450472, 0.000353754, -0.00099543, 0.00439315, 0.00249586, -0.00704692, 0.0315735, 6.21724e-05, 2.9507e-05, -1.83452e-09, 1
1730151084.361540789, 3.6656e-05, -0.000102949, 0.000450472, 0.000353754, -0.00099543, 0.00439315, 0.00249586, -0.00704692, 0.0315735, 6.21724e-05, 2.9507e-05, -1.83452e-09, 1
1730151084.363539056, 3.6656e-05, -0.000102949, 0.000450472, 0.000353754, -0.00099543, 0.00439315, 0.00249586, -0.00704692, 0.0315735, 6.21724e-05, 2.9507e-05, -1.83452e-09, 1
1730151084.365540813, 3.6656e-05, -0.000102949, 0.000450472, 0.000353754, -0.00099543, 0.00439315, 0.00249586, -0.00704692, 0.0315735, 6.21724e-05, 2.9507e-05, -1.83452e-09, 1
