timestamp, x, y, z, vel_x, vel_y, vel_z, acc_x, acc_y, acc_z, orientation_x, orientation_y, orientation_z, orientation_w, ang_vel_x, ang_vel_y, ang_vel_z
1729840090.928514497, -2.59309e-32, 7.67008e-32, -0.504191, -3.11478e-30, 7.1066e-30, -3.0933, -1.55739e-27, 3.5533e-27, -1546.65, 0, 0, 0, 1, -1.25078e-25, -8.85967e-26, -4.75556e-26
1729840090.930505661, -3.26164e-32, 9.15094e-32, -0.51039, -3.81148e-30, 7.99331e-30, -3.10637, -1.90574e-27, 3.99665e-27, -1553.18, 0, 0, 0, 1, -1.14655e-25, -1.09443e-25, -5.14643e-26
1729840090.932516010, -4.0796e-32, 1.08079e-31, -0.516616, -4.6496e-30, 8.87072e-30, -3.1192, -2.3248e-27, 4.43536e-27, -1559.6, 0, 0, 0, 1, -1.19866e-25, -1.14655e-25, -5.27672e-26
1729840090.934506583, -5.07128e-32, 1.26465e-31, -0.522867, -5.58296e-30, 9.84526e-30, -3.13167, -2.79148e-27, 4.92263e-27, -1565.83, 0, 0, 0, 1, -1.30289e-25, -1.25078e-25, -5.53729e-26
1729840090.936502950, -6.25673e-32, 1.46902e-31, -0.529142, -6.61571e-30, 1.09784e-29, -3.14379, -3.30785e-27, 5.4892e-27, -1571.89, 0, 0, 0, 1, -1.51136e-25, -1.25078e-25, -6.05845e-26
1729840090.938508610, -7.65387e-32, 1.69733e-31, -0.535442, -7.73689e-30, 1.22939e-29, -3.15557, -3.86844e-27, 6.14696e-27, -1577.78, 0, 0, 0, 1, -1.56347e-25, -1.40712e-25, -6.57961e-26
1729840090.940508940, -9.28828e-32, 1.95238e-31, -0.541764, -9.05798e-30, 1.36616e-29, -3.16701, -4.52899e-27, 6.83082e-27, -1583.5, 0, 0, 0, 1, -1.45924e-25, -1.61559e-25, -6.84019e-26
1729840090.942505205, -1.1199e-31, 2.23488e-31, -0.548109, -1.05414e-29, 1.50644e-29, -3.17812, -5.27068e-27, 7.5322e-27, -1589.06, 0, 0, 0, 1, -1.61559e-25, -1.56347e-25, -7.10077e-26
1729840090.944540957, 4.00591e-13, -1.24195e-12, -0.554476, 8.01182e-10, -2.48391e-09, -3.18891, 4.00591e-07, -1.24195e-06, -1594.46, 3.87728e-07, 1.25061e-07, -8.17048e-19, 1, 0.000775456, 0.000250123, -6.7446e-18
1729840090.946562074, 6.9667e-12, -2.15989e-11, -0.560865, 7.41674e-09, -2.29942e-08, -3.19939, 3.70837e-06, -1.14971e-05, -1599.69, 1.93476e-06, 6.24056e-07, -7.45928e-18, 1, 0.00231861, 0.000747867, -3.21679e-17
1729840090.948547479, 4.09652e-11, -1.27004e-10, -0.567274, 3.04045e-08, -9.42631e-08, -3.20955, 1.52023e-05, -4.71316e-05, -1604.78, 5.40497e-06, 1.74337e-06, 0, 1, 0.0046218, 0.00149076, -8.62097e-17
1729840090.950554839, 1.50799e-10, -4.67521e-10, -0.573703, 8.64074e-08, -2.67889e-07, -3.21941, 4.32037e-05, -0.000133944, -1609.71, 1.15546e-05, 3.72692e-06, -2.08167e-17, 1, 0.0076774, 0.00247635, -1.77188e-16
1729840090.952547629, 4.24682e-10, -1.31664e-09, -0.580151, 1.98657e-07, -6.15895e-07, -3.22897, 9.93284e-05, -0.000307948, -1614.49, 2.11322e-05, 6.8162e-06, -4.16334e-17, 1, 0.0114779, 0.00370221, -3.12091e-16
1729840090.954523839, 1.00384e-09, -3.1122e-09, -0.586618, 3.96529e-07, -1.22936e-06, -3.23825, 0.000198264, -0.000614678, -1619.12, 3.44986e-05, 1.11275e-05, -1.1241e-15, 1, 0.0152548, 0.00492047, -1.41735e-12
1729840090.956518416, 2.09144e-09, -6.48407e-09, -0.593104, 7.12148e-07, -2.20786e-06, -3.24723, 0.000356074, -0.00110393, -1623.62, 5.16302e-05, 1.66534e-05, -4.80171e-15, 1, 0.0190085, 0.00613122, -4.23712e-12
1729840090.958518246, 3.95667e-09, -1.22668e-08, -0.599607, 1.17941e-06, -3.65652e-06, -3.25594, 0.000589707, -0.00182826, -1627.97, 7.2504e-05, 2.33863e-05, -1.28876e-14, 1, 0.022739, 0.00733452, -8.44561e-12
1729840090.960507965, 6.93825e-09, -2.15106e-08, -0.606127, 1.83391e-06, -5.68565e-06, -3.26437, 0.000916956, -0.00284282, -1632.18, 9.70968e-05, 3.13187e-05, -2.70606e-14, 1, 0.0264466, 0.00853045, -1.40289e-11
1729840090.962507495, 1.14476e-08, -3.54909e-08, -0.612664, 2.71281e-06, -8.41049e-06, -3.27253, 0.00135641, -0.00420524, -1636.26, 0.000125386, 4.04435e-05, -4.93421e-14, 1, 0.0301317, 0.00971909, -2.09733e-11
1729840090.964510305, 1.79721e-08, -5.57186e-08, -0.619217, 3.85479e-06, -1.19509e-05, -3.28042, 0.0019274, -0.00597547, -1640.21, 0.000157346, 5.07525e-05, -1.30368e-13, 1, 0.0337894, 0.0108989, -1.26515e-10
1729840090.966505120, 2.70778e-08, -8.39487e-08, -0.625785, 5.29991e-06, -1.64312e-05, -3.28806, 0.00264995, -0.00821559, -1644.03, 0.000192951, 6.2237e-05, -3.69052e-13, 1, 0.0374201, 0.01207, -3.29669e-10
1729840090.968503054, 3.94121e-08, -1.22188e-07, -0.632369, 7.08951e-06, -2.19794e-05, -3.29545, 0.00354476, -0.0109897, -1647.72, 0.000232173, 7.48883e-05, -8.63434e-13, 1, 0.0410241, 0.0132325, -6.29458e-10
1729840090.970508333, 5.57064e-08, -1.72705e-07, -0.638967, 9.26617e-06, -2.87276e-05, -3.30258, 0.00463308, -0.0143638, -1651.29, 0.000274986, 8.86978e-05, -1.71063e-12, 1, 0.0446016, 0.0143865, -1.02492e-09
1729840090.972503013, 7.67785e-08, -2.38035e-07, -0.645579, 1.18736e-05, -3.68113e-05, -3.30947, 0.00593679, -0.0184056, -1654.74, 0.000321363, 0.000103657, -3.00693e-12, 1, 0.0481529, 0.015532, -1.51509e-09
1729840090.974552482, 1.03535e-07, -3.20985e-07, -0.652205, 1.49565e-05, -4.63692e-05, -3.31613, 0.00747827, -0.0231846, -1658.06, 0.000371276, 0.000119757, -5.15073e-12, 1, 0.051672, 0.0166671, -2.70474e-09
1729840090.976667364, 1.36971e-07, -4.24647e-07, -0.658843, 1.85607e-05, -5.75431e-05, -3.32255, 0.00928035, -0.0287715, -1661.27, 0.000424692, 0.000136986, -8.83899e-12, 1, 0.0551593, 0.017792, -4.58687e-09
1729840090.978509431, 1.78177e-07, -5.52397e-07, -0.665495, 2.27327e-05, -7.04773e-05, -3.32874, 0.0113664, -0.0352387, -1664.37, 0.000481579, 0.000155336, -1.47621e-11, 1, 0.0586152, 0.0189067, -7.15457e-09
1729840090.980470633, 2.28336e-07, -7.07901e-07, -0.672158, 2.75199e-05, -8.53188e-05, -3.3347, 0.0137599, -0.0426594, -1667.35, 0.000541906, 0.000174795, -2.36035e-11, 1, 0.0620398, 0.0200114, -1.0401e-08
1729840090.982509594, 2.88725e-07, -8.95124e-07, -0.678833, 3.29704e-05, -0.000102217, -3.34045, 0.0164852, -0.0511083, -1670.22, 0.000605643, 0.000195353, -3.604e-11, 1, 0.0654336, 0.0211061, -1.43193e-08
1729840090.984504470, 3.6072e-07, -1.11833e-06, -0.68552, 3.91329e-05, -0.000121322, -3.34598, 0.0195665, -0.060661, -1672.99, 0.000672755, 0.000217001, -5.35536e-11, 1, 0.0687907, 0.0221889, -2.05276e-08
1729840090.986504554, 4.45795e-07, -1.38208e-06, -0.692217, 4.60569e-05, -0.000142788, -3.35129, 0.0230285, -0.0713941, -1675.65, 0.000743206, 0.000239725, -7.84241e-11, 1, 0.0721115, 0.0232601, -2.90029e-08
1729840090.988510536, 5.45522e-07, -1.69126e-06, -0.698925, 5.37922e-05, -0.000166769, -3.3564, 0.0268961, -0.0833846, -1678.2, 0.00081696, 0.000263515, -1.12908e-10, 1, 0.0753964, 0.0243197, -3.97227e-08
1729840090.990546647, 6.61575e-07, -2.05105e-06, -0.705642, 6.23889e-05, -0.000193421, -3.36131, 0.0311945, -0.0967106, -1680.65, 0.000893981, 0.000288359, -1.59241e-10, 1, 0.0786457, 0.0253678, -5.26644e-08
1729840090.992520822, 7.95725e-07, -2.46695e-06, -0.71237, 7.18979e-05, -0.000222901, -3.36602, 0.035949, -0.111451, -1683.01, 0.000974234, 0.000314245, -2.19633e-10, 0.999999, 0.0818599, 0.0264046, -6.78058e-08
1729840090.994508990, 9.49849e-07, -2.94477e-06, -0.719106, 8.23693e-05, -0.000255365, -3.37053, 0.0411846, -0.127683, -1685.26, 0.00105747, 0.000341088, -2.91672e-10, 0.999999, 0.0846153, 0.0272811, -8.82178e-08
1729840090.996511126, 1.12592e-06, -3.49064e-06, -0.725851, 9.38495e-05, -0.000290958, -3.37485, 0.0469247, -0.145479, -1687.42, 0.00114324, 0.000368728, -3.67188e-10, 0.999999, 0.0869168, 0.027999, -1.13848e-07
1729840090.998504740, 1.32599e-06, -4.11093e-06, -0.732605, 0.00010638, -0.000329812, -3.37898, 0.0531901, -0.164906, -1689.49, 0.00123108, 0.000397007, -4.36017e-10, 0.999999, 0.0887687, 0.0285599, -1.44643e-07
1729840091.000509302, 1.55221e-06, -4.81229e-06, -0.739367, 0.000119998, -0.000372044, -3.38293, 0.0599991, -0.186022, -1691.46, 0.00132055, 0.00042577, -4.85963e-10, 0.999999, 0.0901755, 0.0289654, -1.80553e-07
1729840091.002506156, 1.80678e-06, -5.60158e-06, -0.746137, 0.000134735, -0.000417758, -3.38669, 0.0673675, -0.208879, -1693.35, 0.00141121, 0.000454861, -5.02749e-10, 0.999999, 0.0911418, 0.0292169, -2.21526e-07
1729840091.004511367, 2.09197e-06, -6.48587e-06, -0.752914, 0.000150618, -0.000467043, -3.39028, 0.0753088, -0.233522, -1695.14, 0.00150282, 0.000484199, -4.81107e-10, 0.999999, 0.0920762, 0.0294586, -2.72262e-07
1729840091.006528638, 2.41009e-06, -7.47237e-06, -0.759698, 0.000167672, -0.000519986, -3.3937, 0.0838358, -0.259993, -1696.85, 0.00159535, 0.000513773, -4.25998e-10, 0.999999, 0.0929791, 0.0296904, -3.32664e-07
1729840091.008546956, 2.76351e-06, -8.56849e-06, -0.766488, 0.000185922, -0.000576671, -3.39694, 0.092961, -0.288336, -1698.47, 0.00168876, 0.000543575, -3.42334e-10, 0.999998, 0.0938507, 0.0299125, -4.02635e-07
1729840091.010515016, 3.15466e-06, -9.7818e-06, -0.773285, 0.000205393, -0.000637181, -3.40002, 0.102697, -0.31859, -1700.01, 0.00178303, 0.000573593, -2.34974e-10, 0.999998, 0.0946914, 0.030125, -4.8208e-07
1729840091.012503140, 3.58598e-06, -1.112e-05, -0.780088, 0.000226109, -0.000701595, -3.40294, 0.113054, -0.350798, -1701.47, 0.00187813, 0.00060382, -1.0872e-10, 0.999998, 0.0955015, 0.030328, -5.70904e-07
1729840091.014509071, 4.06e-06, -1.2591e-05, -0.786897, 0.000248092, -0.000769993, -3.4057, 0.124046, -0.384996, -1702.85, 0.00197402, 0.000634244, 2.89384e-11, 0.999998, 0.0962783, 0.0305207, -6.74362e-07
1729840091.016503759, 4.57927e-06, -1.42029e-05, -0.793711, 0.000271364, -0.00084245, -3.40829, 0.135682, -0.421225, -1704.15, 0.00207067, 0.000664856, 1.67848e-10, 0.999998, 0.0970222, 0.0307032, -7.92307e-07
1729840091.018510190, 5.1464e-06, -1.59638e-05, -0.80053, 0.000295948, -0.000919042, -3.41074, 0.147974, -0.459521, -1705.37, 0.00216805, 0.000695645, 2.97964e-10, 0.999997, 0.0977336, 0.0308756, -9.24595e-07
1729840091.020509159, 5.76402e-06, -1.78821e-05, -0.807354, 0.000321864, -0.000999841, -3.41303, 0.160932, -0.49992, -1706.52, 0.00226612, 0.000726602, 4.09348e-10, 0.999997, 0.0984128, 0.031038, -1.07108e-06
1729840091.022511632, 6.43483e-06, -1.99662e-05, -0.814182, 0.000349133, -0.00108492, -3.41518, 0.174566, -0.542458, -1707.59, 0.00236486, 0.000757716, 4.92173e-10, 0.999997, 0.09906, 0.0311906, -1.23163e-06
1729840091.024605105, 7.16154e-06, -2.22249e-05, -0.821014, 0.000377774, -0.00117434, -3.41718, 0.188887, -0.587169, -1708.59, 0.00246422, 0.000788978, 5.33773e-10, 0.999997, 0.0996737, 0.0313328, -1.41177e-06
1729840091.026528334, 7.94693e-06, -2.46668e-05, -0.827851, 0.000407805, -0.00126817, -3.41904, 0.203903, -0.634085, -1709.52, 0.00256419, 0.000820377, 5.1866e-10, 0.999996, 0.100254, 0.0314649, -1.61132e-06
1729840091.028517096, 8.79378e-06, -2.73008e-05, -0.83469, 0.000439246, -0.00136648, -3.42076, 0.219623, -0.683239, -1710.38, 0.00266471, 0.000851902, 4.31509e-10, 0.999996, 0.100802, 0.0315868, -1.83009e-06
1729840091.030507040, 9.70494e-06, -3.0136e-05, -0.841533, 0.000472113, -0.00146932, -3.42234, 0.236056, -0.734662, -1711.17, 0.00276577, 0.000883545, 2.57155e-10, 0.999996, 0.101317, 0.0316987, -2.06787e-06
1729840091.032511839, 1.06833e-05, -3.31814e-05, -0.84838, 0.000506423, -0.00157677, -3.42379, 0.253211, -0.788384, -1711.89, 0.00286733, 0.000915294, -1.94045e-11, 0.999995, 0.1018, 0.0318007, -2.32448e-06
1729840091.034511428, 1.17317e-05, -3.64464e-05, -0.855228, 0.000542192, -0.00168886, -3.4251, 0.271096, -0.844432, -1712.55, 0.00296935, 0.000947141, -4.16175e-10, 0.999995, 0.102249, 0.0318924, -2.60581e-06
1729840091.036514589, 1.28531e-05, -3.99403e-05, -0.86208, 0.000579436, -0.00180567, -3.42629, 0.289718, -0.902835, -1713.15, 0.00307181, 0.000979074, -9.54145e-10, 0.999995, 0.102665, 0.031974, -2.91161e-06
1729840091.038506247, 1.40505e-05, -4.36725e-05, -0.868934, 0.000618169, -0.00192724, -3.42735, 0.309084, -0.96362, -1713.68, 0.00317466, 0.00101108, -1.65409e-09, 0.999994, 0.103048, 0.0320455, -3.24164e-06
1729840091.040547239, 1.53269e-05, -4.76527e-05, -0.875789, 0.000658404, -0.00205362, -3.42829, 0.329202, -1.02681, -1714.15, 0.00327789, 0.00104316, -2.53656e-09, 0.999994, 0.103398, 0.032107, -3.59566e-06
1729840091.042622855, 1.66852e-05, -5.18905e-05, -0.882647, 0.000700155, -0.00218487, -3.42911, 0.350078, -1.09243, -1714.55, 0.00338144, 0.00107529, -3.62189e-09, 0.999994, 0.103716, 0.0321587, -3.97342e-06
1729840091.044534572, 1.81286e-05, -5.63957e-05, -0.889505, 0.000743435, -0.00232102, -3.42981, 0.371717, -1.16051, -1714.9, 0.00348533, 0.00110748, -4.92733e-09, 0.999993, 0.104063, 0.0322166, -4.38099e-06
1729840091.046549510, 1.96601e-05, -6.11781e-05, -0.896366, 0.000788255, -0.00246213, -3.43039, 0.394127, -1.23106, -1715.19, 0.00358958, 0.00113973, -6.46664e-09, 0.999993, 0.104439, 0.0322805, -4.81807e-06
1729840091.048518048, 2.12827e-05, -6.62478e-05, -0.903227, 0.000834628, -0.00260823, -3.43085, 0.417314, -1.30412, -1715.43, 0.00369422, 0.00117204, -8.25283e-09, 0.999992, 0.104844, 0.0323505, -5.28437e-06
